MSOA11CD,07/03/2020,14/03/2020,21/03/2020,28/03/2020,04/04/2020,11/04/2020,18/04/2020,25/04/2020,02/05/2020,09/05/2020,16/05/2020,23/05/2020,30/05/2020,13/06/2020
E02000001,,5.59,,,,,,,,,,,,
E02000002,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000003,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000004,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000005,,3.65,,4.05,1.89,,,,,,,,,
E02000007,,3.65,,4.05,1.89,,,,,,,,,
E02000008,,3.65,,4.05,1.89,,,,,,,,,
E02000009,,3.65,,4.05,1.89,,,,,,,,,
E02000010,,3.65,,4.05,1.89,,,,,,,,,
E02000011,,3.65,,4.05,1.89,,,,,,,,,
E02000012,,3.65,,4.05,1.89,,,,,,,,,
E02000013,,3.65,,4.05,1.89,,,,,,,,,
E02000014,,3.65,,4.05,1.89,,,,,,,,,
E02000015,,3.65,,4.05,1.89,,,,,,,,,
E02000016,,3.65,,4.05,1.89,,,,,,,,,
E02000017,,3.65,,4.05,1.89,,,,,,,,,
E02000018,,3.65,,4.05,1.89,,,,,,,,,
E02000019,,3.65,,4.05,1.89,,,,,,,,,
E02000020,,3.65,,4.05,1.89,,,,,,,,,
E02000021,,3.65,,4.05,1.89,,,,,,,,,
E02000022,,3.65,,4.05,1.89,,,,,,,,,
E02000023,,3.65,,4.05,1.89,,,,,,,,,
E02000024,5.2,,4.4,4.37,,1.79,,,,,,,,
E02000025,5.2,,4.4,4.37,,1.79,,,,,,,,
E02000026,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000027,5.2,,4.4,4.37,,1.79,,,,,,,,
E02000028,5.2,2.87,4.4,4.37,,1.79,,,,,,,,
E02000029,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000030,5.2,,4.4,4.37,,1.79,,,,,,,,
E02000031,,,4.4,4.37,,1.79,,,,,,,,
E02000032,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000033,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000034,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000035,,,4.4,4.37,,1.79,,,,,,,,
E02000036,5.2,,4.4,4.37,,,,,,,,,,
E02000037,5.2,,4.4,4.37,,,,,,,,,,
E02000038,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000039,,,4.4,4.37,,,,,,,,,,
E02000040,,,4.4,4.37,,,,,,,,,,
E02000041,5.2,,4.4,4.37,,,,,,,,,,
E02000042,,,4.4,4.37,,1.79,,,,,,,,
E02000043,,,4.4,4.37,,,,,,,,,,
E02000044,,,4.4,4.37,,,,,,,,,,
E02000045,,,4.4,4.37,,,,,,,,,,
E02000046,,,4.4,4.37,,,,,,,,,,
E02000047,,,4.4,4.37,,,,,,,,,,
E02000048,,,4.4,4.37,,,,,,,,,,
E02000049,,,4.4,4.37,,,,,,,,,,
E02000050,,,4.4,4.37,,,,,,,,,,
E02000051,,,4.4,4.37,,,,,,,,,,
E02000052,,,4.4,4.37,,,,,,,,,,
E02000053,,,4.4,4.37,,,,,,,,,,
E02000054,,,4.4,4.37,,,,,,,,,,
E02000055,,,4.4,4.37,,,,,,,,,,
E02000056,,,4.4,4.37,,,,,,,,,,
E02000057,,,4.4,4.37,,,,,,,,,,
E02000058,,,4.4,4.37,,,,,,,,,,
E02000059,,,4.4,4.37,,,,,,,,,,
E02000060,,,4.4,4.37,,,,,,,,,,
E02000061,,,4.4,4.37,,,,,,,,,,
E02000062,,,4.4,4.37,,,,,,,,,,
E02000063,,,,4.37,,,,,,,,,,
E02000064,,,,4.37,,,,,,,,,,
E02000065,,3.65,,4.05,1.89,,,,,,,,,
E02000066,,3.65,,4.05,1.89,,,,,,,,,
E02000067,,3.65,,4.05,1.89,,,,,,,,,
E02000068,,3.65,,4.05,1.89,,,,,,,,,
E02000069,,3.65,,4.05,1.89,,,,,,,,,
E02000070,,3.65,,4.05,1.89,,,,,,,,,
E02000071,,3.65,,4.05,1.89,,,,,,,,,
E02000072,,3.65,,4.05,1.89,,,,,,,,,
E02000073,,3.65,,4.05,1.89,,,,,,,,,
E02000074,,3.65,,4.05,1.89,,,,,,,,,
E02000075,,3.65,,4.05,1.89,,,,,,,,,
E02000077,,3.65,,4.05,1.89,,,,,,,,,
E02000078,,3.65,,4.05,1.89,,,,,,,,,
E02000079,,3.65,,4.05,1.89,,,,,,,,,
E02000080,,3.65,,4.05,,,,,,,,,,
E02000081,,3.65,,4.05,1.89,,,,,,,,,
E02000082,,3.65,,4.05,,,,,,,,,,
E02000083,,3.65,,4.05,1.89,,,,,,,,,
E02000084,,3.65,,4.05,1.89,,,,,,,,,
E02000085,,3.65,,4.05,,,,,,,,,,
E02000086,,3.65,,4.05,,1.25,,,,,,,,
E02000087,,3.65,,4.05,1.89,,,,,,,,,
E02000088,,3.65,,4.05,,,,,,,,,,
E02000089,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000090,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000091,,3.65,,4.05,1.75,1.25,,,,,,,,
E02000092,,3.65,,4.05,1.75,,,,,,,,,
E02000093,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000094,,,4.4,4.37,,1.32,,,,,,,,
E02000095,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000096,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000097,,,4.4,4.37,,1.32,,,,,,,,
E02000098,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000099,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000100,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000101,,,4.4,4.37,,1.32,,,,,,,,
E02000102,,,4.4,4.37,,1.32,,,,,,,,
E02000103,,,,4.37,,1.32,,,,,,,,
E02000104,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000105,,6.5,4.4,3.14,,1.32,,,,,,,,
E02000106,,,,4.37,,1.32,,,,,,,,
E02000107,,,,4.37,,,,,,,,,,
E02000108,,6.5,4.4,3.14,,1.32,,,,,,,,
E02000109,,,,3.14,,1.32,,,,,,,,
E02000110,,,,3.14,,,,,,,,,,
E02000111,,6.5,,3.14,,1.32,,,,,,,,
E02000112,,6.5,,3.14,,1.32,,,,,,,,
E02000113,,,,3.14,,1.32,,,,,,,,
E02000114,,,,3.14,,,,,,,,,,
E02000115,,,,3.14,,,,,,,,,,
E02000116,,,,3.14,,1.32,,,,,,,,
E02000117,,,2.7,3.14,,1.32,,,,,,,,
E02000118,,,2.7,3.14,,1.32,,,,,,,,
E02000119,,,2.7,3.14,,1.32,,,,,,,,
E02000120,,,,3.14,,,,,,,,,,
E02000121,,6.5,2.7,3.14,,1.32,,,,,,,,
E02000122,,,,3.14,,,,,,,,,,
E02000123,,,2.7,3.14,,1.32,,,,,,,,
E02000124,,,2.7,3.14,,,,,,,,,,
E02000125,,,2.7,3.14,,,,,,,,,,
E02000126,,,,3.14,,,,,,,,,,
E02000127,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000128,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000130,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000131,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000132,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000133,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000134,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000135,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000136,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000137,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000138,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000139,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000140,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000141,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000142,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000144,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000145,,3.65,,4.05,1.75,,,,,,,,,
E02000146,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000147,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000148,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000149,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000150,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000151,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000152,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000153,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000154,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000155,,,4.75,4.05,1.75,,,,,,,,,
E02000156,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000157,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000158,,,4.75,4.05,1.75,,,,,,,,,
E02000159,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000160,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000161,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000162,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000163,,,4.75,4.05,1.75,1.23,,,,,,,,
E02000165,,,4.75,4.05,1.75,1.23,,,,,,,,
E02000166,,,,4.37,,,,,,,,,,
E02000167,,,,4.37,,,,,,,,,,
E02000168,,,,3.14,,,,,,,,,,
E02000169,,,,4.37,,,,,,,,,,
E02000170,,,,3.14,,,,,,,,,,
E02000171,,,,3.14,,,,,,,,,,
E02000172,,,,3.14,,,,,,,,,,
E02000173,,,,3.14,,,,,,,,,,
E02000174,,,,3.14,,,,,,,,,,
E02000175,,,,3.14,,,,,,,,,,
E02000176,,,,3.14,,,,,,,,,,
E02000177,,,,3.14,,,,,,,,,,
E02000178,,,,3.14,,,,,,,,,,
E02000179,,,,3.14,,,,,,,,,,
E02000180,,,,3.14,,,,,,,,,,
E02000181,,,,3.14,,,,,,,,,,
E02000182,,,,3.14,,,,,,,,,,
E02000183,,,,3.14,,,,,,,,,,
E02000184,,,,3.14,,,,,,,,,,
E02000185,,,,3.14,,,,,,,,,,
E02000186,,,,3.14,,,,,,,,,,
E02000187,,5.59,,3.14,,,,,,,,,,
E02000188,,5.59,,3.14,,,,,,,,,,
E02000189,,5.59,,,,,,,,,,,,
E02000190,,5.59,,,,,,,,,,,,
E02000191,,5.59,,,,,,,,,,,,
E02000192,,5.59,,,,,,,,,,,,
E02000193,,5.59,,,,,,,,,,,,
E02000194,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000195,,5.59,4.75,2.25,1.75,1.25,,,,,,,,
E02000196,,5.59,4.75,2.25,1.75,1.25,,,,,,,,
E02000197,,5.59,4.75,2.25,1.75,1.25,,,,,,,,
E02000198,,5.59,4.75,2.25,1.75,1.25,,,,,,,,
E02000199,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000200,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000201,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000202,,5.59,4.75,2.25,1.75,1.25,,,,,,,,
E02000203,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000204,,5.59,4.75,2.25,1.75,1.25,,,,,,,,
E02000206,,5.59,4.75,2.99,1.75,1.25,,,,,,,,
E02000207,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000208,,,4.75,2.25,1.75,1.25,,,,,,,,
E02000209,,5.59,4.75,2.25,1.75,1.25,,,,,,,,
E02000210,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000211,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000212,,,4.75,2.25,1.75,1.25,,,,,,,,
E02000213,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000214,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000215,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000216,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000217,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000218,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000219,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000220,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000221,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000222,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000223,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000224,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000225,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000226,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000227,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000228,,,4.75,2.99,1.75,1.25,,,,,,,,
E02000229,,,4.75,4.05,1.75,1.25,,,,,,,,
E02000230,,,4.75,2.99,1.75,1.23,,,,,,,,
