MSOA11CD,07/03/2020,14/03/2020,21/03/2020,28/03/2020,04/04/2020,11/04/2020,18/04/2020,25/04/2020,02/05/2020,09/05/2020,16/05/2020,23/05/2020,30/05/2020,13/06/2020
E02000231,,,4.75,2.25,1.75,,,,,,,,,
E02000232,,,4.75,2.99,1.75,1.23,,,,,,,,
E02000233,,,4.75,2.99,1.75,,,,,,,,,
E02000234,,,4.75,2.25,1.75,,,,,,,,,
E02000235,,,4.75,2.99,1.75,1.23,,,,,,,,
E02000236,,,4.75,2.25,1.75,,,,,,,,,
E02000237,,,4.75,2.99,1.75,1.59,,,,,,,,
E02000238,,6.5,4.4,3.14,,1.32,,,,,,,,
E02000239,,6.5,,3.14,,1.32,,,,,,,,
E02000240,,6.5,,,,1.32,,,,,,,,
E02000241,,6.5,,,,1.32,,,,,,,,
E02000242,,6.5,2.7,3.14,,1.32,,,,,,,,
E02000243,,6.5,2.7,,,1.32,,,,,,,,
E02000244,,6.5,2.7,,,1.32,,,,,,,,
E02000245,,6.5,2.7,,,1.32,,,,,,,,
E02000246,,,,,,1.32,,,,,,,,
E02000247,,6.5,2.7,,,1.32,,,,,,,,
E02000248,,,2.7,,,1.32,,,,,,,,
E02000249,,6.5,2.7,,,1.32,,,,,,,,
E02000250,,,2.7,,,1.32,,,,,,,,
E02000251,,,2.7,,,1.32,,,,,,,,
E02000252,,,2.7,,,1.32,,,,,,,,
E02000253,,,2.7,,,1.32,,,,,,,,
E02000254,,,2.7,,,1.32,,,,,,,,
E02000255,,,2.7,,,1.32,,,,,,,,
E02000256,,,2.7,,,1.32,,,,,,,,
E02000257,,,2.7,,,1.32,,,,,,,,
E02000258,,,2.7,,,1.32,,,,,,,,
E02000259,,,2.7,,,1.32,,,,,,,,
E02000260,,,2.7,,,1.32,,,,,,,,
E02000261,,,2.7,,,,,,,,,,,
E02000262,,,2.7,,,1.32,,,,,,,,
E02000263,,,2.7,,,1.32,,,,,,,,
E02000264,,,2.7,,,1.32,,,,,,,,
E02000265,,,2.7,,,1.32,,,,,,,,
E02000266,,,2.7,,,1.32,,,,,,,,
E02000267,,,2.7,,,1.32,,,,,,,,
E02000268,,,2.7,,,1.32,,,,,,,,
E02000269,,,2.7,,,1.32,,,,,,,,
E02000270,,,2.7,,,1.32,,,,,,,,
E02000271,,,2.7,,,,,,,,,,,
E02000272,,,2.7,,,1.32,,,,,,,,
E02000274,,,2.7,,,1.76,,,,,,,,
E02000275,,,2.7,,,1.32,,,,,,,,
E02000276,,,2.7,,,1.32,,,,,,,,
E02000277,,2.87,4.4,4.37,,,,,,,,,,
E02000278,,2.87,4.4,4.37,,,,,,,,,,
E02000279,,2.87,4.4,4.37,1.89,,,,,,,,,
E02000280,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000281,,2.87,4.4,4.37,,,,,,,,,,
E02000282,,2.87,4.4,4.37,,,,,,,,,,
E02000283,,2.87,4.4,4.37,,,,,,,,,,
E02000284,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000285,,2.87,4.4,4.37,,,,,,,,,,
E02000286,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000287,5.2,2.87,4.4,4.37,,1.79,,,,,,,,
E02000288,,2.87,4.4,4.37,,,,,,,,,,
E02000289,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000290,,2.87,4.4,4.37,,,,,,,,,,
E02000291,,2.87,4.4,4.37,,,,,,,,,,
E02000292,,2.87,4.4,4.37,,,,,,,,,,
E02000293,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000294,,2.87,4.4,4.37,,,,,,,,,,
E02000295,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000296,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000297,,2.87,4.4,4.37,,,,,,,,,,
E02000298,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000299,,2.87,4.4,4.37,,,,,,,,,,
E02000300,,2.87,4.4,4.37,,,,,,,,,,
E02000301,,2.87,4.4,4.37,,,,,,,,,,
E02000302,,2.87,4.4,4.37,,,,,,,,,,
E02000303,,2.87,4.4,4.37,,,,,,,,,,
E02000304,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000305,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000306,,2.87,4.4,4.37,,,,,,,,,,
E02000307,,2.87,4.4,4.37,,,,,,,,,,
E02000308,,2.87,4.4,4.37,,1.79,,,,,,,,
E02000309,,2.87,,4.37,,,,,,,,,,
E02000311,,2.87,4.4,4.37,,,,,,,,,,
E02000312,,2.87,4.4,4.37,,,,,,,,,,
E02000313,,3.65,,4.05,1.89,,,,,,,,,
E02000314,,3.65,,4.05,1.89,,,,,,,,,
E02000315,,3.65,,4.05,1.89,,,,,,,,,
E02000316,,3.65,,4.05,,,,,,,,,,
E02000317,,3.65,,4.05,,,,,,,,,,
E02000318,,3.65,,4.05,1.89,,,,,,,,,
E02000319,,3.65,,4.05,,,,,,,,,,
E02000320,,3.65,,4.05,1.89,,,,,,,,,
E02000321,,3.65,,4.05,,,,,,,,,,
E02000323,,3.65,,4.05,,,,,,,,,,
E02000324,,3.65,,4.05,,1.25,,,,,,,,
E02000326,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000327,,3.65,,4.05,,,,,,,,,,
E02000328,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000329,,3.65,,4.05,,,,,,,,,,
E02000331,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000332,,3.65,,4.05,,,,,,,,,,
E02000333,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000334,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000335,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000337,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000339,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000340,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000341,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000342,,3.65,4.75,4.05,,1.25,,,,,,,,
E02000343,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000344,,3.65,4.75,4.05,1.75,1.25,,,,,,,,
E02000345,,,,4.37,,,,,,,,,,
E02000346,,,,4.37,,,,,,,,,,
E02000347,,,,4.37,,,,,,,,,,
E02000348,,,,4.37,,,,,,,,,,
E02000350,,,,3.14,,,,,,,,,,
E02000351,,,,3.14,,,,,,,,,,
E02000352,,,,3.14,,,,,,,,,,
E02000353,,,,3.14,,,,,,,,,,
E02000354,,,,3.14,,,,,,,,,,
E02000355,,,,3.14,,,,,,,,,,
E02000356,,,,3.14,,,,,,,,,,
E02000357,,,,2.49,,,,,,,,,,
E02000358,,,,3.14,,,,,,,,,,
E02000359,,,,2.49,,,,,,,,,,
E02000360,,,,3.14,,,,,,,,,,
E02000361,,,,2.49,,,,,,,,,,
E02000362,,,,2.49,,,,,,,,,,
E02000363,,,,2.49,,,,,,,,,,
E02000364,,,,3.14,,,,,,,,,,
E02000365,,,,3.14,,,,,,,,,,
E02000366,,,,2.49,,,,,,,,,,
E02000367,,,,2.49,,,,,,,,,,
E02000368,,,,2.49,,,,,,,,,,
E02000369,,,,2.49,,,,,,,,,,
E02000370,,,,2.49,,,,,,,,,,
E02000371,,,,2.49,,,,,,,,,,
E02000372,,,2.7,,,,,,,,,,,
E02000373,,,2.7,,,,,,,,,,,
E02000374,,,2.7,,,,,,,,,,,
E02000375,,,2.7,,,,,,,,,,,
E02000376,,,2.7,,,,,,,,,,,
E02000377,,,2.7,,,,,,,,,,,
E02000378,,5.59,2.7,,,,,,,,,,,
E02000379,,,2.7,,,3.96,,,,,,,,
E02000380,,5.59,2.7,,,,,,,,,,,
E02000381,,5.59,2.7,,,,,,,,,,,
E02000382,,,2.7,,,,,,,,,,,
E02000383,,5.59,2.7,,,,,,,,,,,
E02000384,,5.59,2.7,,,,,,,,,,,
E02000385,,5.59,2.7,,,,,,,,,,,
E02000386,,5.59,2.7,2.25,1.59,,,,,,,,,
E02000387,,5.59,2.7,2.25,1.75,,,,,,,,,
E02000388,,5.59,4.75,2.25,1.75,,,,,,,,,
E02000389,,5.59,2.7,2.25,1.75,,,,,,,,,
E02000390,,5.59,2.7,2.25,1.75,,,,,,,,,
E02000391,,5.59,4.75,2.25,1.75,,,,,,,,,
E02000392,,5.59,4.75,2.25,1.75,,,,,,,,,
E02000393,,5.59,4.75,2.25,1.75,,,,,,,,,
E02000394,,5.59,4.75,2.25,1.75,,,,,,,,,
E02000395,,5.59,4.75,2.25,1.75,,,,,,,,,
E02000396,,5.59,4.75,2.25,1.75,,,,,,,,,
E02000397,,2.87,4.4,4.37,,,,,,,,,,
E02000398,,2.87,,4.37,,,,,,,,,,
E02000400,,2.87,4.4,4.37,,,,,,,,,,
E02000401,,2.87,4.4,4.37,,,,,,,,,,
E02000402,,2.87,,4.37,,,,,,,,,,
E02000403,,2.87,4.4,4.37,,,,,,,,,,
E02000404,,2.87,4.4,4.37,,,,,,,,,,
E02000405,,2.87,4.4,4.37,,,,,,,,,,
E02000406,,2.87,,4.37,,,,,,,,,,
E02000407,,2.87,,4.37,,,,,,,,,,
E02000408,,2.87,,4.37,,,,,,,,,,
E02000409,,2.87,,4.37,,,,,,,,,,
E02000410,,,4.4,4.37,,,,,,,,,,
E02000411,,2.87,,4.37,,,,,,,,,,
E02000412,,2.87,,4.37,,,,,,,,,,
E02000413,,,4.4,4.37,,,,,,,,,,
E02000414,,2.87,,4.37,,,,,,,,,,
E02000415,,2.87,,4.37,,,,,,,,,,
E02000416,,,,4.37,,,,,,,,,,
E02000417,,,4.4,4.37,,,,,,,,,,
E02000418,,,,4.37,,,,,,,,,,
E02000419,,,,4.37,,,,,,,,,,
E02000420,,2.87,,4.37,,,,,,,,,,
E02000421,,2.87,,4.37,,,,,,,,,,
E02000422,,,,4.37,,,,,,,,,,
E02000423,,,,4.37,,,,,,,,,,
E02000424,,,,4.37,,,,,,,,,,
E02000425,,,,4.37,,,,,,,,,,
E02000426,,,,4.37,,,,,,,,,,
E02000427,,,,4.37,,,,,,,,,,
E02000428,,,,4.37,,,,,,,,,,
E02000429,,,,4.37,,,,,,,,,,
E02000430,,,,4.37,,,,,,,,,,
E02000431,,,,4.37,,,,,,,,,,
E02000432,,,,4.37,,,,,,,,,,
E02000433,5.2,6.5,4.4,4.37,,,,,,,,,,
E02000434,5.2,6.5,4.4,4.37,,,,,,,,,,
E02000435,5.2,6.5,4.4,4.37,,,,,,,,,,
E02000436,5.2,6.5,4.4,4.37,,,,,,,,,,
E02000437,5.2,6.5,4.4,4.37,,1.32,,,,,,,,
E02000438,5.2,6.5,4.4,4.37,,1.32,,,,,,,,
E02000439,,,4.4,4.37,,1.32,,,,,,,,
E02000440,5.2,6.5,4.4,4.37,,1.32,,,,,,,,
E02000441,5.2,6.5,4.4,4.37,,,,,,,,,,
E02000442,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000443,5.2,6.5,4.4,4.37,,1.32,,,,,,,,
E02000444,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000445,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000447,5.2,6.5,4.4,4.37,,1.32,,,,,,,,
E02000448,5.2,6.5,4.4,4.37,,1.32,,,,,,,,
E02000449,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000451,5.2,6.5,4.4,4.37,,1.32,,,,,,,,
E02000452,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000453,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000454,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000455,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000456,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000457,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000459,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000460,,6.5,4.4,3.14,,1.32,,,,,,,,
E02000461,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000462,,6.5,4.4,3.14,,1.32,,,,,,,,
E02000463,,6.5,4.4,3.14,,1.32,,,,,,,,
E02000464,,,,4.05,1.89,1.44,,,,,,,,
E02000465,,,,4.05,1.89,1.44,,,,,,,,
E02000466,,,,4.05,1.89,1.44,,,,,,,,
E02000467,,,,4.05,1.89,1.44,,,,,,,,
E02000468,,,,4.05,1.89,1.44,,,,,,,,
E02000469,,,,4.05,1.89,1.44,,,,,,,,
E02000470,,,,4.05,1.89,1.44,,,,,,,,
E02000471,,,,4.05,1.89,1.44,,,,,,,,
E02000472,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000473,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000474,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000475,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000476,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000477,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000478,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000479,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000480,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000481,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000482,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000483,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000484,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000485,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000486,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000487,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000488,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000489,,3.65,,4.05,1.89,1.44,,,,,,,,
E02000490,,3.65,,4.05,1.89,,,,,,,,,
E02000491,,3.65,,4.05,1.89,,,,,,,,,
E02000492,,3.65,,4.05,1.89,,,,,,,,,
E02000493,,3.65,,4.05,1.89,,,,,,,,,
E02000494,5.2,,4.4,4.37,1.99,1.7,,,,,,,,
E02000495,5.2,6.5,4.4,4.37,,,,,,,,,,
E02000496,5.2,,4.4,4.37,2.97,1.7,,,,,,,,
E02000497,5.2,6.5,4.4,4.37,,,,,,,,,,
E02000498,5.2,,4.4,,,,,,,,,,,
E02000499,,6.5,4.4,4.37,,1.32,,,,,,,,
E02000500,5.2,6.5,4.4,,,,,,,,,,,
E02000501,,6.5,4.4,,,1.32,,,,,,,,
E02000502,,6.5,4.4,,,1.32,,,,,,,,
E02000503,,6.5,4.4,,,1.32,,,,,,,,
E02000504,,,4.4,,,,,,,,,,,
E02000508,,5.07,,,2.97,1.7,,,,,,,,
E02000509,,5.07,,,2.97,1.7,,,,,,,,
E02000513,,,2.7,,,1.32,,,,,,,,
E02000514,,,2.7,,,1.32,,,,,,,,
E02000515,,5.07,,,,,,,,,,,,
E02000516,,,2.7,,,1.32,,,,,,,,
E02000518,,5.07,,,,,,,,,,,,
E02000519,,,2.7,,,,,,,,,,,
E02000520,,,2.7,,,,,,,,,,,
E02000521,,5.07,2.7,,,,,,,,,,,
E02000522,,5.07,,,,,,,,,,,,
E02000523,,,2.7,,,,,,,,,,,
