"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000293"	14.2
"E01000294"	14.1
"E01000295"	3.0
"E01000296"	3.1
"E01000297"	2.3
"E01000298"	2.9
"E01000299"	1.7
"E01000300"	3.7
"E01000301"	10.1
"E01000302"	3.1
"E01000303"	5.5
"E01000304"	3.6
"E01000305"	2.4
"E01000306"	3.2
"E01000307"	5.1
"E01000308"	1.5
"E01000309"	28.7
"E01000310"	17.1
"E01000311"	54.3
"E01000312"	2.4
"E01000313"	5.3
"E01000314"	34.6
"E01000315"	5.5
"E01000316"	2.8
"E01000317"	2.8
"E01000318"	3.9
"E01000319"	4.7
"E01000320"	8.5
"E01000321"	2.2
"E01000322"	5.0
"E01000323"	1.8
"E01000324"	3.9
"E01000325"	3.7
"E01000326"	0.9
"E01000327"	14.8
"E01000328"	11.0
"E01000329"	4.9
"E01000330"	5.1
"E01000331"	4.2
"E01000332"	11.4
"E01000333"	6.1
"E01000334"	6.1
"E01000335"	4.9
"E01000336"	2.4
"E01000337"	3.4
"E01000338"	6.2
"E01000339"	4.1
"E01000340"	10.6
"E01000341"	11.6
"E01000342"	2.6
"E01000343"	6.3
"E01000344"	7.3
"E01000345"	6.8
"E01000346"	2.5
"E01000347"	1.9
"E01000348"	15.6
"E01000349"	22.8
"E01000350"	1.9
"E01000351"	9.7
"E01000352"	7.6
"E01000353"	16.5
"E01000354"	2.9
"E01000355"	12.0
"E01000356"	4.7
"E01000357"	1.4
"E01000358"	3.8
"E01000359"	2.8
"E01000360"	10.0
"E01000361"	12.5
"E01000362"	11.3
"E01000363"	29.0
"E01000364"	17.5
"E01000365"	6.0
"E01000366"	7.0
"E01000367"	2.6
"E01000368"	1.1
"E01000369"	3.3
"E01000370"	14.5
"E01000371"	2.5
"E01000372"	5.8
"E01000373"	0.7
"E01000374"	2.4
"E01000375"	1.7
"E01000376"	3.7
"E01000377"	5.4
"E01000378"	10.4
"E01000379"	10.9
"E01000380"	1.3
"E01000381"	6.5
"E01000382"	5.5
"E01000383"	16.7
"E01000384"	8.4
"E01000385"	2.2
"E01000386"	1.6
"E01000387"	4.9
"E01000388"	14.7
"E01000389"	20.9
"E01000390"	16.6
"E01000391"	1.5
"E01000392"	1.6
"E01000393"	3.2
"E01000394"	6.1
"E01000395"	3.2
"E01000396"	1.0
"E01000398"	2.7
"E01000399"	7.5
"E01000400"	2.3
"E01000401"	2.4
"E01000402"	9.9
"E01000403"	5.0
"E01000404"	2.5
"E01000405"	3.7
"E01000406"	4.0
"E01000407"	20.3
"E01000408"	4.5
"E01000409"	1.2
"E01000410"	3.4
"E01000411"	1.8
"E01000412"	2.9
"E01000413"	1.1
"E01000414"	5.1
"E01000415"	5.2
"E01000416"	4.2
"E01000417"	11.7
"E01000418"	12.5
"E01000419"	4.6
"E01000420"	10.7
"E01000421"	3.3
"E01000422"	1.1
"E01000423"	3.9
"E01000424"	24.8
"E01000425"	7.1
"E01000426"	6.4
"E01000427"	6.7
"E01000428"	6.9
"E01000429"	3.2
"E01000430"	2.0
"E01000431"	1.9
"E01000432"	2.4
"E01000433"	5.2
"E01000434"	3.5
"E01000435"	2.2
"E01000436"	2.4
"E01000437"	3.1
"E01000438"	3.2
"E01000439"	3.7
"E01000440"	7.8
"E01000441"	7.5
"E01000442"	3.7
"E01000443"	4.0
"E01000444"	63.3
"E01000445"	13.8
"E01000446"	1.0
"E01000447"	8.4
"E01000448"	40.4
"E01000449"	33.8
"E01000450"	2.7
"E01000451"	1.9
"E01000452"	1.8
"E01000453"	1.7
"E01000454"	1.4
"E01000455"	1.8
"E01000456"	1.2
"E01000457"	6.3
"E01000458"	25.6
"E01000459"	18.5
"E01000460"	32.6
"E01000461"	3.8
"E01000462"	5.7
"E01000463"	10.5
"E01000464"	4.3
"E01000465"	1.2
"E01000466"	3.6
"E01000467"	3.2
"E01000468"	4.1
"E01000469"	3.9
"E01000470"	1.5
"E01000471"	7.6
"E01000472"	2.7
"E01000473"	3.2
"E01000474"	8.0
"E01000475"	8.5
"E01000476"	10.4
"E01000477"	3.8
"E01000478"	7.4
"E01000479"	41.7
"E01000480"	54.3
"E01000481"	15.0
"E01000482"	6.9
"E01000483"	1.8
"E01000484"	9.5
"E01000485"	12.1
"E01000486"	11.3
"E01000487"	12.8
"E01000488"	20.0
"E01000489"	12.8
"E01000490"	1.0
"E01000491"	13.9
"E01000492"	8.1
"E01000493"	2.9
"E01000494"	8.2
"E01000495"	4.0
"E01000497"	10.2
"E01000498"	9.5
"E01000499"	4.3
"E01000501"	2.0
"E01000502"	8.2
"E01000503"	10.0
"E01000504"	2.0
"E01000505"	3.9
"E01000506"	3.1
"E01000507"	10.4
"E01000508"	6.5
"E01000509"	6.2
"E01000510"	4.4
"E01000511"	5.1
"E01000512"	3.5
"E01000513"	3.8
"E01000514"	3.7
"E01000515"	4.9
"E01000516"	10.0
"E01000517"	4.0
"E01000518"	4.8
"E01000519"	6.5
"E01000520"	4.6
"E01000521"	3.4
"E01000522"	2.4
"E01000523"	3.3
"E01000524"	2.4
"E01000525"	3.8
"E01000526"	5.5
"E01000527"	6.9
"E01000528"	5.4
"E01000530"	1.8
"E01000531"	2.2
"E01000532"	3.4
"E01000533"	2.8
"E01000534"	1.2
"E01000535"	4.1
"E01000536"	25.0
"E01000538"	43.6
"E01000539"	11.0
"E01000540"	41.7
"E01000541"	5.3
"E01000543"	4.2
"E01000544"	1.6
"E01000545"	0.7
"E01000546"	1.5
