AREACD,AREANM,house,publicsector,salary,degree,age,nonukborn,health
W06000001,Isle of Anglesey,97,-1,98,99999,99999,99999,99999
W06000002,Gwynedd,46,-4.2,48,99999,99999,99999,99999
W06000003,Conwy,102,0,102,99999,99999,99999,99999
W06000004,Denbighshire,114,1.8,112,99999,99999,99999,99999
W06000005,Flintshire,352,1.4,347,99999,99999,99999,99999
W06000006,Wrexham,268,0,268,99999,99999,99999,99999
W06000008,Ceredigion,40,-7,43,99999,99999,99999,99999
W06000009,Pembrokeshire,76,0,76,99999,99999,99999,99999
W06000010,Carmarthenshire,79,1.3,78,99999,99999,99999,99999
W06000011,Swansea,632,-0.2,633,99999,99999,99999,99999
W06000012,Neath Port Talbot,322,1.6,317,99999,99999,99999,99999
W06000013,Bridgend,580,4.5,555,99999,99999,99999,99999
W06000014,Vale of Glamorgan,398,4.2,382,99999,99999,99999,99999
W06000015,Cardiff,2572,4.7,2456,99999,99999,99999,99999
W06000016,Rhondda Cynon Taf,560,1.3,553,99999,99999,99999,99999
W06000018,Caerphilly,634,-1.7,645,99999,99999,99999,99999
W06000019,Blaenau Gwent,615,-4.2,642,99999,99999,99999,99999
W06000020,Torfaen,734,1.2,725,99999,99999,99999,99999
W06000021,Monmouthshire,110,1.9,108,99999,99999,99999,99999
W06000022,Newport,838,9.5,765,99999,99999,99999,99999
W06000023,Powys,26,0,26,99999,99999,99999,99999
W06000024,Merthyr Tydfil,528,0,528,99999,99999,99999,99999
