AREACD,AREANM,NUTS2,Tier
E07000035,Derbyshire Dales,Derbyshire and Nottinghamshire,2
E07000036,Erewash,Derbyshire and Nottinghamshire,2
E07000037,High Peak,Derbyshire and Nottinghamshire,2
E07000038,North East Derbyshire,Derbyshire and Nottinghamshire,2
E07000039,South Derbyshire,Derbyshire and Nottinghamshire,2
E07000040,East Devon,Devon,1
E07000041,Exeter,Devon,1
E07000042,Mid Devon,Devon,1
E07000043,North Devon,Devon,1
E07000044,South Hams,Devon,1
E07000045,Teignbridge,Devon,1
E07000046,Torridge,Devon,1
E07000047,West Devon,Devon,1
E07000061,Eastbourne,"Surrey, East and West Sussex",1
E07000062,Hastings,"Surrey, East and West Sussex",1
E07000063,Lewes,"Surrey, East and West Sussex",1
E07000064,Rother,"Surrey, East and West Sussex",1
E07000065,Wealden,"Surrey, East and West Sussex",1
E07000066,Basildon,Essex,2
E07000067,Braintree,Essex,2
E07000068,Brentwood,Essex,2
E07000069,Castle Point,Essex,2
E07000070,Chelmsford,Essex,2
E07000071,Colchester,Essex,2
E07000072,Epping Forest,Essex,2
E07000073,Harlow,Essex,2
E07000074,Maldon,Essex,2
E07000075,Rochford,Essex,2
E07000076,Tendring,Essex,2
E07000077,Uttlesford,Essex,2
E07000078,Cheltenham,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E07000079,Cotswold,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E07000080,Forest of Dean,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E07000081,Gloucester,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E07000082,Stroud,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E07000083,Tewkesbury,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E07000084,Basingstoke and Deane,Hampshire and Isle of Wight,1
E07000085,East Hampshire,Hampshire and Isle of Wight,1
E07000086,Eastleigh,Hampshire and Isle of Wight,1
E07000087,Fareham,Hampshire and Isle of Wight,1
E07000088,Gosport,Hampshire and Isle of Wight,1
E07000089,Hart,Hampshire and Isle of Wight,1
E07000090,Havant,Hampshire and Isle of Wight,1
E07000091,New Forest,Hampshire and Isle of Wight,1
E07000092,Rushmoor,Hampshire and Isle of Wight,1
E07000093,Test Valley,Hampshire and Isle of Wight,1
E07000094,Winchester,Hampshire and Isle of Wight,1
E07000095,Broxbourne,Bedfordshire and Hertfordshire,1
E07000096,Dacorum,Bedfordshire and Hertfordshire,1
E07000098,Hertsmere,Bedfordshire and Hertfordshire,1
E07000099,North Hertfordshire,Bedfordshire and Hertfordshire,1
E07000102,Three Rivers,Bedfordshire and Hertfordshire,1
E07000103,Watford,Bedfordshire and Hertfordshire,1
E07000105,Ashford,Kent,1
E07000106,Canterbury,Kent,1
E07000107,Dartford,Kent,1
E07000108,Dover,Kent,1
E07000109,Gravesham,Kent,1
E07000110,Maidstone,Kent,1
E07000111,Sevenoaks,Kent,1
E07000112,Folkestone and Hythe,Kent,1
E07000113,Swale,Kent,1
E07000114,Thanet,Kent,1
E07000115,Tonbridge and Malling,Kent,1
E07000116,Tunbridge Wells,Kent,1
E07000117,Burnley,Lancashire,3
E07000118,Chorley,Lancashire,3
E07000119,Fylde,Lancashire,3
E07000120,Hyndburn,Lancashire,3
E07000121,Lancaster,Lancashire,3
E07000122,Pendle,Lancashire,3
E07000123,Preston,Lancashire,3
E07000124,Ribble Valley,Lancashire,3
E07000125,Rossendale,Lancashire,3
E07000126,South Ribble,Lancashire,3
E07000127,West Lancashire,Lancashire,3
E07000128,Wyre,Lancashire,3
E07000129,Blaby,"Leicestershire, Rutland and Northamptonshire",1
E07000130,Charnwood,"Leicestershire, Rutland and Northamptonshire",2
E07000131,Harborough,"Leicestershire, Rutland and Northamptonshire",1
E07000132,Hinckley and Bosworth,"Leicestershire, Rutland and Northamptonshire",1
E07000133,Melton,"Leicestershire, Rutland and Northamptonshire",1
E07000134,North West Leicestershire,"Leicestershire, Rutland and Northamptonshire",1
E07000135,Oadby and Wigston,"Leicestershire, Rutland and Northamptonshire",2
E07000136,Boston,Lincolnshire,1
E07000137,East Lindsey,Lincolnshire,1
E07000138,Lincoln,Lincolnshire,1
E07000139,North Kesteven,Lincolnshire,1
E07000140,South Holland,Lincolnshire,1
E07000141,South Kesteven,Lincolnshire,1
E07000142,West Lindsey,Lincolnshire,1
E07000143,Breckland,East Anglia,1
E07000144,Broadland,East Anglia,1
E07000145,Great Yarmouth,East Anglia,1
E07000146,King's Lynn and West Norfolk,East Anglia,1
E07000147,North Norfolk,East Anglia,1
E07000148,Norwich,East Anglia,1
E07000149,South Norfolk,East Anglia,1
E07000150,Corby,"Leicestershire, Rutland and Northamptonshire",1
E07000151,Daventry,"Leicestershire, Rutland and Northamptonshire",1
E07000152,East Northamptonshire,"Leicestershire, Rutland and Northamptonshire",1
E07000153,Kettering,"Leicestershire, Rutland and Northamptonshire",1
E07000154,Northampton,"Leicestershire, Rutland and Northamptonshire",1
E07000155,South Northamptonshire,"Leicestershire, Rutland and Northamptonshire",1
E07000156,Wellingborough,"Leicestershire, Rutland and Northamptonshire",1
E07000163,Craven,North Yorkshire,1
E07000164,Hambleton,North Yorkshire,1
E07000165,Harrogate,North Yorkshire,1
E07000166,Richmondshire,North Yorkshire,1
E07000167,Ryedale,North Yorkshire,1
E07000168,Scarborough,North Yorkshire,1
E07000169,Selby,North Yorkshire,1
E07000170,Ashfield,Derbyshire and Nottinghamshire,3
E07000171,Bassetlaw,Derbyshire and Nottinghamshire,3
E07000172,Broxtowe,Derbyshire and Nottinghamshire,3
E07000173,Gedling,Derbyshire and Nottinghamshire,3
E07000174,Mansfield,Derbyshire and Nottinghamshire,3
E07000175,Newark and Sherwood,Derbyshire and Nottinghamshire,3
E07000176,Rushcliffe,Derbyshire and Nottinghamshire,3
E07000177,Cherwell,"Berkshire, Buckinghamshire and Oxfordshire",1
E07000178,Oxford,"Berkshire, Buckinghamshire and Oxfordshire",2
E07000179,South Oxfordshire,"Berkshire, Buckinghamshire and Oxfordshire",1
E07000180,Vale of White Horse,"Berkshire, Buckinghamshire and Oxfordshire",1
E07000181,West Oxfordshire,"Berkshire, Buckinghamshire and Oxfordshire",1
E07000187,Mendip,Dorset and Somerset,1
E07000188,Sedgemoor,Dorset and Somerset,1
E07000189,South Somerset,Dorset and Somerset,1
E07000192,Cannock Chase,Shropshire and Staffordshire,2
E07000193,East Staffordshire,Shropshire and Staffordshire,2
E07000194,Lichfield,Shropshire and Staffordshire,2
E07000195,Newcastle-under-Lyme,Shropshire and Staffordshire,2
E07000196,South Staffordshire,Shropshire and Staffordshire,2
E07000197,Stafford,Shropshire and Staffordshire,2
E07000198,Staffordshire Moorlands,Shropshire and Staffordshire,2
E07000199,Tamworth,Shropshire and Staffordshire,2
E07000200,Babergh,East Anglia,1
E07000202,Ipswich,East Anglia,1
E07000203,Mid Suffolk,East Anglia,1
E07000207,Elmbridge,"Surrey, East and West Sussex",2
E07000208,Epsom and Ewell,"Surrey, East and West Sussex",1
E07000209,Guildford,"Surrey, East and West Sussex",1
E07000210,Mole Valley,"Surrey, East and West Sussex",1
E07000211,Reigate and Banstead,"Surrey, East and West Sussex",1
E07000212,Runnymede,"Surrey, East and West Sussex",1
E07000213,Spelthorne,"Surrey, East and West Sussex",1
E07000214,Surrey Heath,"Surrey, East and West Sussex",1
E07000215,Tandridge,"Surrey, East and West Sussex",1
E07000216,Waverley,"Surrey, East and West Sussex",1
E07000217,Woking,"Surrey, East and West Sussex",1
E07000218,North Warwickshire,"Herefordshire, Worcestershire and Warwickshire",1
E07000219,Nuneaton and Bedworth,"Herefordshire, Worcestershire and Warwickshire",1
E07000220,Rugby,"Herefordshire, Worcestershire and Warwickshire",1
E07000221,Stratford-on-Avon,"Herefordshire, Worcestershire and Warwickshire",1
E07000222,Warwick,"Herefordshire, Worcestershire and Warwickshire",1
E07000223,Adur,"Surrey, East and West Sussex",1
E07000224,Arun,"Surrey, East and West Sussex",1
E07000225,Chichester,"Surrey, East and West Sussex",1
E07000226,Crawley,"Surrey, East and West Sussex",1
E07000227,Horsham,"Surrey, East and West Sussex",1
E07000228,Mid Sussex,"Surrey, East and West Sussex",1
E07000229,Worthing,"Surrey, East and West Sussex",1
E07000234,Bromsgrove,"Herefordshire, Worcestershire and Warwickshire",1
E07000235,Malvern Hills,"Herefordshire, Worcestershire and Warwickshire",1
E07000236,Redditch,"Herefordshire, Worcestershire and Warwickshire",1
E07000237,Worcester,"Herefordshire, Worcestershire and Warwickshire",1
E07000238,Wychavon,"Herefordshire, Worcestershire and Warwickshire",1
E07000239,Wyre Forest,"Herefordshire, Worcestershire and Warwickshire",1
E07000240,St Albans,Bedfordshire and Hertfordshire,1
E07000241,Welwyn Hatfield,Bedfordshire and Hertfordshire,1
E07000242,East Hertfordshire,Bedfordshire and Hertfordshire,1
E07000243,Stevenage,Bedfordshire and Hertfordshire,1
E07000244,East Suffolk,East Anglia,1
E07000245,West Suffolk,East Anglia,1
E07000246,Somerset West and Taunton,Dorset and Somerset,1
E08000001,Bolton,Greater Manchester,3
E08000002,Bury,Greater Manchester,3
E08000003,Manchester,Greater Manchester,3
E08000004,Oldham,Greater Manchester,3
E08000005,Rochdale,Greater Manchester,3
E08000006,Salford,Greater Manchester,3
E08000007,Stockport,Greater Manchester,3
E08000008,Tameside,Greater Manchester,3
E08000009,Trafford,Greater Manchester,3
E08000010,Wigan,Greater Manchester,3
E08000011,Knowsley,Merseyside,3
E08000012,Liverpool,Merseyside,3
E08000013,St. Helens,Merseyside,3
E08000014,Sefton,Merseyside,3
E08000015,Wirral,Merseyside,3
E08000016,Barnsley,South Yorkshire,3
E08000017,Doncaster,South Yorkshire,3
E08000018,Rotherham,South Yorkshire,3
E08000019,Sheffield,South Yorkshire,3
E08000021,Newcastle upon Tyne,Northumberland and Tyne and Wear,2
E08000022,North Tyneside,Northumberland and Tyne and Wear,2
E08000023,South Tyneside,Northumberland and Tyne and Wear,2
E08000024,Sunderland,Northumberland and Tyne and Wear,2
E08000025,Birmingham,West Midlands,2
E08000026,Coventry,West Midlands,2
E08000027,Dudley,West Midlands,2
E08000028,Sandwell,West Midlands,2
E08000029,Solihull,West Midlands,2
E08000030,Walsall,West Midlands,2
E08000031,Wolverhampton,West Midlands,2
E08000032,Bradford,West Yorkshire,2
E08000033,Calderdale,West Yorkshire,2
E08000034,Kirklees,West Yorkshire,2
E08000035,Leeds,West Yorkshire,2
E08000036,Wakefield,West Yorkshire,2
E08000037,Gateshead,Northumberland and Tyne and Wear,2
E09000001,City of London,Inner London - West,2
E09000002,Barking and Dagenham,Outer London - East and North East,2
E09000003,Barnet,Outer London - West and North West,2
E09000004,Bexley,Outer London - East and North East,2
E09000005,Brent,Outer London - West and North West,2
E09000006,Bromley,Outer London - South,2
E09000007,Camden,Inner London - West,2
E09000008,Croydon,Outer London - South,2
E09000009,Ealing,Outer London - West and North West,2
E09000010,Enfield,Outer London - East and North East,2
E09000011,Greenwich,Outer London - East and North East,2
E09000012,Hackney,Inner London - East,2
E09000013,Hammersmith and Fulham,Inner London - West,2
E09000014,Haringey,Inner London - East,2
E09000015,Harrow,Outer London - West and North West,2
E09000016,Havering,Outer London - East and North East,2
E09000017,Hillingdon,Outer London - West and North West,2
E09000018,Hounslow,Outer London - West and North West,2
E09000019,Islington,Inner London - East,2
E09000020,Kensington and Chelsea,Inner London - West,2
E09000021,Kingston upon Thames,Outer London - South,2
E09000022,Lambeth,Inner London - East,2
E09000023,Lewisham,Inner London - East,2
E09000024,Merton,Outer London - South,2
E09000025,Newham,Inner London - East,2
E09000026,Redbridge,Outer London - East and North East,2
E09000027,Richmond upon Thames,Outer London - West and North West,2
E09000028,Southwark,Inner London - East,2
E09000029,Sutton,Outer London - South,2
E09000030,Tower Hamlets,Inner London - East,2
E09000031,Waltham Forest,Outer London - East and North East,2
E09000032,Wandsworth,Inner London - West,2
E09000033,Westminster,Inner London - West,2
