AREACD,AREANM,NUTS2,Tier
E06000001,Hartlepool,Tees Valley and Durham,2
E06000002,Middlesbrough,Tees Valley and Durham,2
E06000003,Redcar and Cleveland,Tees Valley and Durham,2
E06000004,Stockton-on-Tees,Tees Valley and Durham,2
E06000005,Darlington,Tees Valley and Durham,2
E06000006,Halton,Merseyside,3
E06000007,Warrington,Cheshire,3
E06000008,Blackburn with Darwen,Lancashire,3
E06000009,Blackpool,Lancashire,3
E06000010,"Kingston upon Hull, City of",East Yorkshire and Northern Lincolnshire,2
E06000011,East Riding of Yorkshire,East Yorkshire and Northern Lincolnshire,2
E06000012,North East Lincolnshire,East Yorkshire and Northern Lincolnshire,2
E06000013,North Lincolnshire,East Yorkshire and Northern Lincolnshire,2
E06000014,York,North Yorkshire,2
E06000015,Derby,Derbyshire and Nottinghamshire,2
E06000016,Leicester,"Leicestershire, Rutland and Northamptonshire",2
E06000017,Rutland,"Leicestershire, Rutland and Northamptonshire",1
E06000018,Nottingham,Derbyshire and Nottinghamshire,3
E06000019,"Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire",1
E06000020,Telford and Wrekin,Shropshire and Staffordshire,2
E06000021,Stoke-on-Trent,Shropshire and Staffordshire,2
E06000022,Bath and North East Somerset,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E06000023,"Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area",1
E06000024,North Somerset,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E06000025,South Gloucestershire,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E06000026,Plymouth,Devon,1
E06000027,Torbay,Devon,1
E06000030,Swindon,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E06000031,Peterborough,East Anglia,1
E06000032,Luton,Bedfordshire and Hertfordshire,2
E06000033,Southend-on-Sea,Essex,1
E06000034,Thurrock,Essex,1
E06000035,Medway,Kent,1
E06000036,Bracknell Forest,"Berkshire, Buckinghamshire and Oxfordshire",1
E06000037,West Berkshire,"Berkshire, Buckinghamshire and Oxfordshire",1
E06000038,Reading,"Berkshire, Buckinghamshire and Oxfordshire",1
E06000039,Slough,"Berkshire, Buckinghamshire and Oxfordshire",2
E06000040,Windsor and Maidenhead,"Berkshire, Buckinghamshire and Oxfordshire",1
E06000041,Wokingham,"Berkshire, Buckinghamshire and Oxfordshire",1
E06000042,Milton Keynes,"Berkshire, Buckinghamshire and Oxfordshire",1
E06000043,Brighton and Hove,"Surrey, East and West Sussex",1
E06000044,Portsmouth,Hampshire and Isle of Wight,1
E06000045,Southampton,Hampshire and Isle of Wight,1
E06000046,Isle of Wight,Hampshire and Isle of Wight,1
E06000047,County Durham,Tees Valley and Durham,2
E06000049,Cheshire East,Cheshire,2
E06000050,Cheshire West and Chester,Cheshire,2
E06000051,Shropshire,Shropshire and Staffordshire,1
E06000052,Cornwall,Cornwall and Isles of Scilly,1
E06000053,Isles of Scilly,Cornwall and Isles of Scilly,1
E06000054,Wiltshire,"Gloucestershire, Wiltshire and Bath/Bristol area",1
E06000055,Bedford,Bedfordshire and Hertfordshire,1
E06000056,Central Bedfordshire,Bedfordshire and Hertfordshire,1
E06000057,Northumberland,Northumberland and Tyne and Wear,2
E06000058,"Bournemouth, Christchurch and Poole",Dorset and Somerset,1
E06000059,Dorset,Dorset and Somerset,1
E06000060,Buckinghamshire,"Berkshire, Buckinghamshire and Oxfordshire",1
E07000008,Cambridge,East Anglia,1
E07000009,East Cambridgeshire,East Anglia,1
E07000010,Fenland,East Anglia,1
E07000011,Huntingdonshire,East Anglia,1
E07000012,South Cambridgeshire,East Anglia,1
E07000026,Allerdale,Cumbria,1
E07000027,Barrow-in-Furness,Cumbria,2
E07000028,Carlisle,Cumbria,2
E07000029,Copeland,Cumbria,1
E07000030,Eden,Cumbria,1
E07000031,South Lakeland,Cumbria,1
E07000032,Amber Valley,Derbyshire and Nottinghamshire,2
E07000033,Bolsover,Derbyshire and Nottinghamshire,2
E07000034,Chesterfield,Derbyshire and Nottinghamshire,2
