AREACD,value
E02000001,0.126402393
E02000002,0.049722051
E02000003,0.059373807
E02000004,0.103437199
E02000005,0.07363225
E02000007,0.072114259
E02000008,0.079719052
E02000009,0.050082858
E02000010,0.077050343
E02000011,0.048678272
E02000012,0.065472637
E02000013,0.057663505
E02000014,0.090597901
E02000015,0.062642369
E02000016,0.063956044
E02000017,0.068143511
E02000018,0.053106212
E02000019,0.075421687
E02000020,0.063109123
E02000021,0.076342056
E02000022,0.08308517
E02000023,0.065756824
E02000024,0.073642683
E02000025,0.055965706
E02000026,0.044705882
E02000027,0.089697244
E02000028,0.051407589
E02000029,0.064906967
E02000030,0.045714286
E02000031,0.046443412
E02000032,0.058528869
E02000033,0.066169618
E02000034,0.069835549
E02000035,0.049294145
E02000036,0.06147697
E02000037,0.06022887
E02000038,0.055725191
E02000039,0.054092325
E02000040,0.043628809
E02000041,0.08009817
E02000042,0.075502152
E02000043,0.051980198
E02000044,0.086925458
E02000045,0.07461786
E02000046,0.058885109
E02000047,0.098971722
E02000048,0.050227367
E02000049,0.083852935
E02000050,0.077486272
E02000051,0.058742225
E02000052,0.050312012
E02000054,0.062434141
E02000055,0.0991178
E02000056,0.033560197
E02000057,0.118960158
E02000058,0.069567045
E02000059,0.079351959
E02000060,0.154833191
E02000061,0.046472831
E02000062,0.085393258
E02000063,0.066977286
E02000064,0.050438596
E02000065,0.05961377
E02000066,0.067681895
E02000067,0.089828802
E02000068,0.10099889
E02000069,0.08492201
E02000070,0.058124516
E02000071,0.076816417
E02000072,0.06302449
E02000073,0.053143713
E02000074,0.084340321
E02000075,0.067215728
E02000077,0.059526838
E02000078,0.076610857
E02000079,0.075669383
E02000080,0.04950495
E02000081,0.079542501
E02000082,0.045969903
E02000083,0.076718167
E02000084,0.073932788
E02000085,0.059990084
E02000086,0.067754425
E02000087,0.046663322
E02000088,0.057326478
E02000089,0.054977315
E02000090,0.071595001
E02000091,0.076567101
E02000092,0.067215364
E02000093,0.073553995
E02000094,0.072171014
E02000095,0.062610057
E02000096,0.067446288
E02000097,0.064254386
E02000098,0.064383209
E02000099,0.063522413
E02000100,0.124316615
E02000101,0.069632045
E02000102,0.080980453
E02000103,0.071160169
E02000104,0.080033463
E02000105,0.066117494
E02000106,0.06954971
E02000107,0.053555274
E02000108,0.063460444
E02000110,0.046780684
E02000111,0.120263902
E02000112,0.142998028
E02000113,0.131900058
E02000114,0.051062943
E02000115,0.039909808
E02000116,0.06611126
E02000117,0.096613546
E02000118,0.220747035
E02000119,0.114253394
E02000120,0.060594059
