AREACD,AREANM,Persons,Males,Females,region,country,Region_persons,Region_males,Region_females,Country_persons,Country_males,Country_females
E06000047,County Durham,1099.2,1256.3,970.7,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E06000005,Darlington,1045.3,1124.9,969.6,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E06000001,Hartlepool,1113,1216.8,1018.5,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E06000002,Middlesbrough,1246.3,1496.2,1047.3,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E06000057,Northumberland,996.8,1131.3,883.4,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E06000003,Redcar and Cleveland,1069.1,1225.9,935.8,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E06000004,Stockton-on-Tees,1094.1,1256.6,959.9,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E11000007,Tyne and Wear (Met County),1114.9,1312,958.4,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E08000037,Gateshead,1094.1,1286.8,939.9,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E08000021,Newcastle upon Tyne,1089.3,1253.9,939.6,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E08000022,North Tyneside,1050.9,1225.8,916.4,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E08000023,South Tyneside,1214.1,1480.2,1013.8,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E08000024,Sunderland,1161.5,1387.9,998.4,NORTH EAST,ENGLAND,1093.4,1261.9,955.5,957.2,1111,831.4
E06000008,Blackburn with Darwen,1189.6,1358.2,1059.6,NORTH WEST ,ENGLAND,1053.1,1208.9,923.7,957.2,1111,831.4
E06000009,Blackpool,1322.5,1553.1,1134.2,NORTH WEST ,ENGLAND,1053.1,1208.9,923.7,957.2,1111,831.4
E06000049,Cheshire East,914.9,1062,786.8,NORTH WEST ,ENGLAND,1053.1,1208.9,923.7,957.2,1111,831.4
E06000050,Cheshire West and Chester,936.1,1046.9,841.3,NORTH WEST ,ENGLAND,1053.1,1208.9,923.7,957.2,1111,831.4
E06000006,Halton,1165.9,1352,1008.4,NORTH WEST ,ENGLAND,1053.1,1208.9,923.7,957.2,1111,831.4
